,concept_id,label_ko
0,ifrs-full_CurrentAssets,유동자산
1,ifrs-full_CashAndCashEquivalents,현금및현금성자산
2,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품
3,entity00126380_udf_BS_201851017339116_CurrentAssets,단기상각후원가금융자산
4,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossMandatorilyMeasuredAtFairValue,단기당기손익-공정가치금융자산
5,dart_ShortTermTradeReceivable,매출채권
6,entity00126380_udf_BS_201710182279121_CurrentAssets,미수금
7,entity00126380_udf_BS_2017101822109437_CurrentAssets,선급비용
8,ifrs-full_Inventories,재고자산
9,dart_OtherCurrentAssets,기타유동자산
10,ifrs-full_NoncurrentAssets,비유동자산
11,entity00126380_udf_BS_201851017830322_NoncurrentAssets,기타포괄손익-공정가치금융자산
12,entity00126380_udf_BS_201851017832579_NoncurrentAssets,당기손익-공정가치금융자산
13,entity00126380_udf_BS_20171018221637438_NoncurrentAssets,관계기업 및 공동기업 투자
14,ifrs-full_PropertyPlantAndEquipment,유형자산
15,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산
16,dart_DepositsForSeveranceInsurance,순확정급여자산
17,ifrs-full_DeferredTaxAssets,이연법인세자산
18,dart_OtherNonCurrentAssets,기타비유동자산
19,ifrs-full_Assets,자산총계
20,ifrs-full_CurrentLiabilities,유동부채
21,entity00126380_udf_BS_20171018222617796_CurrentLiabilities,매입채무
22,ifrs-full_ShorttermBorrowings,단기차입금
23,entity00126380_udf_BS_20171018222642264_CurrentLiabilities,미지급금
24,entity00126380_udf_BS_20171018222640707_CurrentLiabilities,선수금
25,entity00126380_udf_BS_20171018222637261_CurrentLiabilities,예수금
26,entity00126380_udf_BS_20171018222635206_CurrentLiabilities,미지급비용
27,ifrs-full_CurrentTaxLiabilities,당기법인세부채
28,entity00126380_udf_BS_20171024141934989_CurrentLiabilities,유동성장기부채
29,ifrs-full_CurrentProvisions,충당부채
30,dart_OtherCurrentLiabilities,기타유동부채
31,ifrs-full_NoncurrentLiabilities,비유동부채
32,dart_BondsIssued,사채
33,dart_LongTermBorrowingsGross,장기차입금
34,dart_LongTermOtherPayablesGross,장기미지급금
35,dart_PostemploymentBenefitObligations,순확정급여부채
36,ifrs-full_DeferredTaxLiabilities,이연법인세부채
37,ifrs-full_NoncurrentProvisions,장기충당부채
38,dart_OtherNonCurrentLiabilities,기타비유동부채
39,ifrs-full_Liabilities,부채총계
40,ifrs-full_EquityAttributableToOwnersOfParent,지배기업 소유주지분
41,ifrs-full_IssuedCapital,자본금
42,dart_IssuedCapitalOfPreferredStock,우선주자본금
43,dart_IssuedCapitalOfCommonStock,보통주자본금
44,ifrs-full_SharePremium,주식발행초과금
45,ifrs-full_RetainedEarnings,이익잉여금(결손금)
46,dart_ElementsOfOtherStockholdersEquity,기타자본항목
47,ifrs-full_NoncontrollingInterests,비지배지분
48,ifrs-full_Equity,자본총계
49,ifrs-full_EquityAndLiabilities,부채와자본총계
