,concept_id,label_ko
0,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동 현금흐름
1,entity00126380_udf_CF_201710211099539_CashFlowsFromUsedInOperatingActivities,영업에서 창출된 현금흐름
2,entity00126380_udf_CF_201710211092510_udf_CF_201710211099539_CashFlowsFromUsedInOperatingActivities,당기순이익
3,entity00126380_udf_CF_2017102110929616_udf_CF_201710211099539_CashFlowsFromUsedInOperatingActivities,조정
4,entity00126380_udf_CF_2017102110934928_udf_CF_201710211099539_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 자산부채의 변동
5,ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자의 수취
6,ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자의 지급
7,ifrs-full_DividendsReceivedClassifiedAsOperatingActivities,배당금 수입
8,ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세 납부액
9,ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동 현금흐름
10,entity00126380_udf_CF_2017102110167395_CashFlowsFromUsedInInvestingActivities,단기금융상품의 순감소(증가)
11,entity00126380_udf_CF_201987152650384_CashFlowsFromUsedInInvestingActivities,단기상각후원가금융자산의 순감소(증가)
12,entity00126380_udf_CF_2019726153251267_CashFlowsFromUsedInInvestingActivities,단기당기손익-공정가치금융자산의 순감소(증가)
13,dart_ProceedsFromSalesOfLongTermFinancialInstruments,장기금융상품의 처분
14,dart_PurchaseOfLongTermFinancialInstruments,장기금융상품의 취득
15,entity00126380_udf_CF_2018510204038291_CashFlowsFromUsedInInvestingActivities,기타포괄손익-공정가치금융자산의 처분
16,entity00126380_udf_CF_2018510204040276_CashFlowsFromUsedInInvestingActivities,기타포괄손익-공정가치금융자산의 취득
17,entity00126380_udf_CF_2018510204036276_CashFlowsFromUsedInInvestingActivities,당기손익-공정가치금융자산의 처분
18,entity00126380_udf_CF_2018510204025664_CashFlowsFromUsedInInvestingActivities,당기손익-공정가치금융자산의 취득
19,entity00126380_udf_CF_202182133252272_CashFlowsFromUsedInInvestingActivities,관계기업 및 공동기업 투자의 처분
20,entity00126380_udf_CF_20171021101629633_CashFlowsFromUsedInInvestingActivities,관계기업 및 공동기업 투자의 취득
21,ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분
22,ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득
23,ifrs-full_ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 처분
24,ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득
25,entity00126380_udf_CF_20171021101626447_CashFlowsFromUsedInInvestingActivities,사업결합으로 인한 현금유출액
26,entity00126380_udf_CF_20171021101625672_CashFlowsFromUsedInInvestingActivities,기타투자활동으로 인한 현금유출입액
27,ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동 현금흐름
28,entity00126380_udf_CF_20171021102249949_CashFlowsFromUsedInFinancingActivities,단기차입금의 순증가(감소)
29,entity00126380_udf_CF_2021111023423146_CashFlowsFromUsedInFinancingActivities,장기차입금의 차입
30,dart_RepaymentsOfLongTermBorrowings,사채 및 장기차입금의 상환
31,ifrs-full_DividendsPaidClassifiedAsFinancingActivities,배당금의 지급
32,entity00126380_udf_CF_20171021102253395_CashFlowsFromUsedInFinancingActivities,비지배지분의 증감
33,ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,외화환산으로 인한 현금의 변동
34,ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의 순증감
35,dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초의 현금및현금성자산
36,dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말의 현금및현금성자산
